"T[C]";"R nom[Ohm]";"R min[Ohm]";"R max[Ohm]";"deltaR/R [+-%]";"deltaT [+-C]";"alpha [%K]"
"110";"757.95";"730.50";"785.39";"3.6";"1.5";"2.4"
"111";"739.66";"712.70";"766.61";"3.6";"1.5";"2.4"
"112";"721.89";"695.41";"748.36";"3.7";"1.5";"2.4"
"113";"704.63";"678.62";"730.63";"3.7";"1.5";"2.4"
"114";"687.85";"662.30";"713.40";"3.7";"1.5";"2.4"
"115";"671.55";"646.45";"696.65";"3.7";"1.6";"2.4"
"116";"655.71";"631.05";"680.36";"3.8";"1.6";"2.4"
"117";"640.31";"616.09";"664.53";"3.8";"1.6";"2.4"
"118";"625.34";"601.54";"649.13";"3.8";"1.6";"2.4"
"119";"610.78";"587.40";"634.16";"3.8";"1.6";"2.3"
"120";"596.63";"573.66";"619.60";"3.9";"1.6";"2.3"
"121";"582.86";"560.29";"605.43";"3.9";"1.7";"2.3"
"122";"569.48";"547.30";"591.65";"3.9";"1.7";"2.3"
"123";"556.46";"534.66";"578.25";"3.9";"1.7";"2.3"
"124";"543.79";"522.37";"565.21";"3.9";"1.7";"2.3"
"125";"531.46";"510.42";"552.51";"4.0";"1.7";"2.3"
