ADC,Temperature (C)
0,-0.2948219389537101
5240,-0.19322517402663664
10480,-0.09243891483691868
15720,0.007550977776837442
20960,0.10675847480290912
26200,0.2051973803839786
31440,0.30288133313811016
36680,0.39982380747337487
41920,0.49603811489652117
47160,0.5915374053149378
52400,0.6863346683327833
57640,0.7804427345405855
62880,0.8738742767986736
68120,0.9666418115145561
73360,1.0587576999139188
78600,1.1502341493054402
83840,1.2410832143396462
89080,1.3313167982613479
94320,1.420946654156083
99560,1.509984386190439
104800,1.598441450846181
110040,1.6863291581483182
115280,1.7736586728871302
120520,1.860441015834077
125760,1.9466870649515755
131000,2.0324075565969437
136240,2.1176130867200627
141480,2.2023141120552054
146720,2.2865209513068265
151960,2.370243786329233
157200,2.4534926633004943
162440,2.5362774938902746
167680,2.618608056421621
172920,2.700493997027067
178160,2.781944830798629
183400,2.862969942931862
188640,2.943578589864252
193880,3.0237799004075256
199120,3.103582876874107
204360,3.1829963961979075
209600,3.2620292110490254
214840,3.340689950942867
220080,3.4189871233432854
225320,3.496929114759979
230560,3.5745241918401973
235800,3.6517805024545567
241040,3.7287060767771223
246280,3.805308828359884
251520,3.8815965552013765
256760,3.957576940809531
262000,4.033257555259112
267240,4.1086458562431645
272480,4.183749190118917
277720,4.2585747929481315
282960,4.333129791531647
288200,4.407421204438343
293440,4.481455943028642
298680,4.555240812472142
303920,4.628782512759919
309160,4.702087639711166
314400,4.7751626859741805
319640,4.848014042021973
324880,4.9206479971422965
330120,4.993070740422034
335360,5.065288361726331
340600,5.1373068526720225
345840,5.209132107595657
351080,5.280769924516161
356320,5.352226006091946
361560,5.423505960572548
366800,5.49461530274505
372040,5.565559454874844
377280,5.636343747641249
382520,5.706973421067612
387760,5.777453625446007
393000,5.847789422256792
398240,5.91798578508261
403480,5.988047600517206
408720,6.057979669068885
413960,6.127786706058707
419200,6.19747334251344
424440,6.267044126053129
429680,6.336503521773558
434920,6.405855913123386
440160,6.475105602776132
445400,6.5442568134968795
450640,6.613313689003824
455880,6.682280294824711
461120,6.751160619147953
466360,6.819958573668764
471600,6.888677994430026
476840,6.957322642658138
482080,7.0258962055936784
487320,7.094402297317018
492560,7.162844459568838
497800,7.231226162565573
503040,7.299550805809826
508280,7.367821718895712
513520,7.436042162309231
518760,7.504215328223555
524000,7.57234434128938
529240,7.640432259420315
534480,7.708482074573173
539720,7.776496713523464
544960,7.844479038635903
550200,7.91243184862989
555440,7.980357879340236
560680,8.048259804472853
565920,8.116140236355683
571160,8.184001726684624
576400,8.25184676726471
581640,8.319677790746422
586880,8.38749717135709
592120,8.455307225627624
597360,8.523110213114279
602600,8.590908337115831
607840,8.658703745385758
613080,8.726498530839834
618320,8.794294732258916
623560,8.862094334986981
628800,8.929899271624478
634040,8.997711422716954
639280,9.06553261743905
644520,9.13336463427369
649760,9.201209201686773
655000,9.269067998797112
660240,9.336942656041732
665480,9.404834755836653
670720,9.472745833232931
675960,9.540677376568222
681200,9.60863082811371
686440,9.67660758471646
691680,9.744608998437279
696920,9.812636377183999
702160,9.88069098534023
707400,9.948774044389648
712640,10.01688673353576
717880,10.085030190317177
723120,10.153205511218463
728360,10.221413752276497
733600,10.289655929682421
738840,10.357933020379122
744080,10.426245962654377
749320,10.494595656729548
754560,10.562982965343881
759800,10.631408714334487
765040,10.699873693211966
770280,10.768378655731638
775520,10.83692432046049
780760,10.905511371339827
786000,10.974140458243571
791240,11.04281219753232
796480,11.111527172603129
801720,11.180285934435034
806960,11.249089002130304
812200,11.317936863451518
817440,11.386829975354406
822680,11.455768764516446
827920,11.524753627861347
833160,11.593784933079323
838400,11.662863019143224
843640,11.73198819682047
848880,11.801160749180927
854120,11.870380932100659
859360,11.9396489747615
864600,12.008965080146623
869840,12.078329425532008
875080,12.147742162973852
880320,12.217203419791886
885560,12.286713299048753
890800,12.356271880025279
896040,12.42587921869179
901280,12.495535348175412
906520,12.56524027922341
911760,12.634994000662587
917000,12.70479647985466
922240,12.774647663147782
927480,12.84454747632411
